"","Factor 1","Factor 2","Factor 3","Factor 4"
"OR4D5",-6.3251932260755e-06,-1.18360685519292e-05,-7.22303911970812e-06,-3.92854553865618e-06
"TPTE",-6.81894653098425e-06,-5.15335850650445e-05,-2.2883865312906e-05,-1.06013267213712e-05
"SETD2",-1.98912366613513e-05,-1.69773593370337e-05,-1.3207619304012e-05,-1.36351745823049e-05
"QKI",-1.3109828614688e-05,-1.01539790193783e-05,-7.18478077033069e-06,-7.50139588490129e-06
"CACNA2D1",-6.3251932260755e-06,-1.18360685519292e-05,-7.22303911970812e-06,-3.92854553865618e-06
"SAMD9L",-6.3251932260755e-06,-1.18360685519292e-05,-7.22303911970812e-06,-3.92854553865618e-06
"TRPM6",-1.3763934475719e-05,-1.91451567843615e-06,8.08880656677502e-07,-1.319570128544e-05
"TLR7",-6.94284290148062e-06,7.19374429536401e-06,-2.25717521971092e-05,2.85484389905832e-07
"AFF2",-8.01347994183743e-07,3.33259959006682e-05,-2.18453478737501e-05,1.39708799906657e-05
"L1CAM",-2.83620174741372e-05,-2.80446165561443e-05,-2.13119710679166e-05,-8.56124916026602e-06
"MAP1S",-5.53668951397412e-06,-1.24217995107756e-05,3.48393655258405e-06,-2.86718818642839e-06
"PDGFRA",-2.09706377063412e-05,-2.96585621981649e-05,3.42280804943584e-06,-1.71195151779102e-05
"PPP1R3A",-5.53668951397412e-06,-1.24217995107756e-05,3.48393655258405e-06,-2.86718818642839e-06
"MKI67",-4.09227070008455e-08,-1.68673268490238e-05,1.51572485265206e-05,-4.575229013426e-06
"CYP2B6",3.28962300955027e-06,-4.76421428174945e-06,2.48457672569202e-06,4.57333590020426e-06
"DCAF12L2",7.11267921360559e-06,-1.19964515761239e-05,8.58203202369623e-06,1.38778077598545e-05
"ITPR2",-3.84369087669256e-07,-2.62249795923708e-05,-2.59654680121457e-05,3.2458808618685e-06
"RYR1",-3.69923668586125e-06,-7.04864760336932e-06,-1.98039524548221e-05,-2.3323429559241e-05
"LRP2",-9.96315293377847e-07,-1.51020767589216e-05,-1.32571622089017e-05,1.87371756510402e-06
"AADACL2",-5.61493425266235e-06,7.25612608221127e-06,-4.83637859360897e-06,-1.05434928627801e-05
"SDK1",-9.38812718231929e-06,-2.58173313341103e-05,-3.05592180893655e-07,-4.91638456878718e-06
"PKD1L1",-1.31277656691964e-05,-2.10804228117922e-05,-1.05396002254565e-05,-9.83792597253341e-06
"DOCK4",2.41131601796951e-07,-2.55305876635248e-05,-5.45113152838894e-06,-1.09204274849617e-05
"C12orf63",3.62576133738912e-06,-1.47137325257063e-05,6.8818991394437e-07,-5.45293323739315e-06
"CHD8",-2.65357302851044e-05,-6.10832421443774e-06,1.10510620743298e-06,-5.67373035664787e-06
"SPTBN5",2.72876559392898e-06,2.86759186565178e-05,-5.30407896803808e-06,2.8422908826542e-07
"LAMA3",-4.20275409851456e-06,2.41025481955148e-05,1.74346200765285e-06,5.20171568041405e-07
"CIC",0.245352819561958,0.000614716554991901,-0.377346277236938,5.92479991610162e-05
"ITPR1",-1.87423574971035e-06,-7.08419293005136e-06,-3.54076701114536e-06,-1.87372017990128e-06
"TRPC7",3.81790141545935e-06,1.06010447780136e-05,6.56001134302642e-07,-6.73729209665908e-06
"SSPO",9.69568009168142e-06,-1.44810728670564e-05,-1.60148538270732e-05,-1.39496905831038e-05
"MMP13",-5.56140685148421e-06,-1.33266048578662e-05,-1.50161386045511e-05,-4.51479263574583e-06
"CACNA1C",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"HERC1",4.69383940071566e-06,1.73858061316423e-05,-4.33224086009432e-05,-1.20087252071244e-05
"PBRM1",1.563697878737e-06,9.52378559304634e-06,-1.74905162566574e-05,9.5443356258329e-06
"UGT2B11",-1.04190785350511e-05,3.10507130052429e-05,-9.46120906064607e-07,-2.20742163037357e-06
"ADAM29",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"RBMXL1",6.61271951685194e-06,7.54487064114073e-06,-1.20615877676755e-05,-4.40392167178061e-09
"ZNF831",-7.30853298591683e-06,1.80660463229287e-05,9.24113101063995e-06,-1.56996566147427e-06
"MYH2",-9.7909296528087e-06,-1.71398789916566e-06,2.24740269914037e-05,1.51687959260016e-06
"KPRP",-9.8989667094429e-06,8.02551994638634e-07,-1.44853192978189e-05,-1.18630396173103e-05
